"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"MIS18BP1",0,1.08264581945351,0.277,0.117,0,"Macrophages","MIS18BP1",0.299892891988621
"GGA2",0,1.24452866690609,0.264,0.104,0,"Macrophages","GGA2",0.328555568063208
"PLXNC1",0,1.44875221604374,0.25,0.09,0,"Macrophages","PLXNC1",0.362188054010936
"RHOQ",0,1.17279905574059,0.275,0.116,0,"Macrophages","RHOQ",0.322519740328663
"CPNE8",0,1.02155858396094,0.29,0.131,0,"Macrophages","CPNE8",0.296251989348673
"TEC",0,2.0200677161189,0.204,0.046,0,"Macrophages","TEC",0.412093814088255
"CCDC93",0,1.19217987476211,0.267,0.11,0,"Macrophages","CCDC93",0.318312026561483
"SLC25A13",0,1.05642882527665,0.302,0.145,0,"Macrophages","SLC25A13",0.319041505233547
"TLR4",0,3.9233058618833,0.166,0.009,0,"Macrophages","TLR4",0.651268773072629
"PIK3CB",0,1.04609553853068,0.296,0.139,0,"Macrophages","PIK3CB",0.30964427940508
"ATP6V0C",0,3.4707339944379,0.174,0.017,0,"Macrophages","ATP6V0C",0.603907715032194
"UBXN2B",0,2.46394539836788,0.191,0.035,0,"Macrophages","UBXN2B",0.470613571088265
"HLA-B",0,1.67088470150317,0.226,0.071,0,"Macrophages","HLA-B",0.377619942539716
"HLA-DPA1",0,4.06727615763756,0.164,0.009,0,"Macrophages","HLA-DPA1",0.66703328985256
"DSE",0,1.48723495306374,0.244,0.089,0,"Macrophages","DSE",0.362885328547552
"LGALS3",0,1.99097413022641,0.227,0.073,0,"Macrophages","LGALS3",0.451951127561395
"SRGAP2",0,1.38842401886175,0.251,0.097,0,"Macrophages","SRGAP2",0.3484944287343
"CMTM6",0,1.71059377283677,0.217,0.063,0,"Macrophages","CMTM6",0.37119884870558
"VAC14",0,1.84898383874547,0.21,0.056,0,"Macrophages","VAC14",0.388286606136549
"TYROBP",0,4.85276863757391,0.158,0.004,0,"Macrophages","TYROBP",0.766737444736677
"LAIR1",0,4.30943677428987,0.159,0.005,0,"Macrophages","LAIR1",0.685200447112089
"TRPM2",0,3.35225209004109,0.165,0.011,0,"Macrophages","TRPM2",0.553121594856779
"IFNGR2",0,1.25917812497679,0.27,0.117,0,"Macrophages","IFNGR2",0.339978093743733
"ZNF710",0,1.46063285514016,0.248,0.095,0,"Macrophages","ZNF710",0.362236948074759
"MMP19",0,2.9203982989999,0.178,0.026,0,"Macrophages","MMP19",0.519830897221982
"FMNL1",0,1.22028868012681,0.207,0.055,0,"Macrophages","FMNL1",0.252599756786251
"TG",0,1.47259944096581,0.199,0.048,0,"Macrophages","TG",0.293047288752197
"C1QC",0,6.05865222866695,0.153,0.002,0,"Macrophages","C1QC",0.926973790986043
"CYBA",0,2.0691998472075,0.181,0.03,0,"Macrophages","CYBA",0.374525172344557
"IL17RA",0,1.80338440350535,0.195,0.045,0,"Macrophages","IL17RA",0.351659958683543
"CD58",0,1.29289793589904,0.219,0.069,0,"Macrophages","CD58",0.283144647961889
"ARHGEF11",0,1.53087556415122,0.236,0.086,0,"Macrophages","ARHGEF11",0.361286633139689
"SH3TC1",0,2.32911128890787,0.178,0.028,0,"Macrophages","SH3TC1",0.4145818094256
"CMKLR1",0,3.78910180222051,0.16,0.01,0,"Macrophages","CMKLR1",0.606256288355282
"SPTLC2",0,1.2323036134252,0.249,0.099,0,"Macrophages","SPTLC2",0.306843599742874
"OAZ1",0,2.12617328643678,0.191,0.041,0,"Macrophages","OAZ1",0.406099097709424
